"agency","site_no","Date","month","HydrologicEvent","SampleFraction","Inorganic_N","Nitrate","Mixed_N","TP","Temperature","TSS","Turbidity"
"21NC01WQ","J1330000",1980-06-17,"Jun",NA," ",NA,NA,NA,NA,1254.5,NA,NA
"21NC01WQ","J1330000",1980-06-17,"Jun",NA,"Total",NA,NA,NA,NA,NA,NA,778
"21NC01WQ","J1330000",1980-07-11,"Jul",NA," ",NA,NA,NA,NA,1394.5,NA,NA
"21NC01WQ","J1330000",1980-07-11,"Jul",NA,"Total",NA,NA,NA,NA,NA,NA,1528
"21NC01WQ","J1330000",1980-08-26,"Aug",NA," ",NA,NA,NA,NA,1376,NA,NA
"21NC01WQ","J1330000",1980-08-26,"Aug",NA,"Total",NA,NA,NA,NA,NA,NA,401
"21NC01WQ","J1330000",1980-09-22,"Sep",NA," ",NA,NA,NA,NA,1517,NA,NA
"21NC01WQ","J1330000",1980-09-22,"Sep",NA,"Total",NA,NA,NA,NA,NA,NA,548
"21NC01WQ","J1330000",1980-10-13,"Oct",NA," ",NA,NA,NA,NA,1095,NA,NA
"21NC01WQ","J1330000",1980-10-13,"Oct",NA,"Total",NA,NA,NA,NA,NA,NA,1892
"21NC01WQ","J1330000",1980-11-19,"Nov",NA," ",NA,NA,NA,NA,1692,NA,NA
"21NC01WQ","J1330000",1980-11-19,"Nov",NA,"Total",NA,NA,NA,NA,NA,NA,1143
"21NC01WQ","J1330000",1980-12-10,"Dec",NA," ",NA,NA,NA,NA,935,NA,NA
"21NC01WQ","J1330000",1980-12-10,"Dec",NA,"Total",NA,NA,NA,NA,NA,NA,1070
"21NC01WQ","J1330000",1981-01-20,"Jan",NA," ",NA,NA,NA,NA,1439,NA,NA
"21NC01WQ","J1330000",1981-01-20,"Jan",NA,"Total",NA,NA,NA,NA,NA,NA,1989
"21NC01WQ","J1330000",1981-02-11,"Feb",NA," ",NA,NA,NA,NA,992.5,NA,NA
"21NC01WQ","J1330000",1981-02-11,"Feb",NA,"Total",NA,NA,NA,NA,NA,NA,1277
"21NC01WQ","J1330000",1981-03-16,"Mar",NA," ",NA,NA,NA,NA,992.5,NA,NA
"21NC01WQ","J1330000",1981-03-16,"Mar",NA,"Total",NA,NA,NA,NA,NA,NA,401
"21NC01WQ","J1330000",1981-04-13,"Apr",NA," ",NA,NA,NA,NA,1117,NA,NA
"21NC01WQ","J1330000",1981-04-13,"Apr",NA,"Total",NA,NA,NA,NA,NA,NA,1711
"21NC01WQ","J1330000",1981-05-27,"May",NA," ",NA,NA,NA,NA,1254.5,NA,NA
"21NC01WQ","J1330000",1981-06-22,"Jun",NA," ",NA,NA,NA,NA,1441.5,NA,NA
"21NC01WQ","J1330000",1981-06-22,"Jun",NA,"Total",NA,NA,NA,NA,NA,NA,401
"21NC01WQ","J1330000",1981-07-15,"Jul",NA," ",NA,NA,NA,NA,1376,NA,NA
"21NC01WQ","J1330000",1981-07-15,"Jul",NA,"Total",NA,NA,NA,NA,NA,NA,548
"21NC01WQ","J1330000",1981-08-18,"Aug",NA," ",NA,NA,NA,NA,1307.5,NA,NA
"21NC01WQ","J1330000",1981-08-18,"Aug",NA,"Total",NA,NA,NA,NA,NA,NA,1273
"21NC01WQ","J1330000",1981-09-14,"Sep",NA," ",NA,NA,NA,NA,1351,NA,NA
"21NC01WQ","J1330000",1981-09-14,"Sep",NA,"Total",NA,NA,NA,NA,NA,NA,1570
