"agency","site_no","Date","HydrologicEvent","CharacteristicName","SampleFraction","Units","value","month","agency_cd","Discharge","D.Approval.Code","Gage.Height","GH.Approval.Code","Location"
"21NC01WQ","J1330000",1977-03-10,NA,"Temperature, water"," ","deg C",12,"Mar",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1977-04-21,NA,"Temperature, water"," ","deg C",20,"Apr",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1977-05-31,NA,"Temperature, water"," ","deg C",21,"May",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1977-07-12,NA,"Temperature, water"," ","deg C",30,"Jul",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1977-08-16,NA,"Temperature, water"," ","deg C",28,"Aug",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1977-09-14,NA,"Temperature, water"," ","deg C",23,"Sep",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1977-10-06,NA,"Temperature, water"," ","deg C",16,"Oct",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1977-11-03,NA,"Temperature, water"," ","deg C",18,"Nov",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1977-12-07,NA,"Temperature, water"," ","deg C",6,"Dec",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1978-01-26,NA,"Temperature, water"," ","deg C",4,"Jan",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1978-02-21,NA,"Temperature, water"," ","deg C",6,"Feb",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1978-03-28,NA,"Temperature, water"," ","deg C",11.5,"Mar",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1978-04-12,NA,"Temperature, water"," ","deg C",18,"Apr",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1978-05-25,NA,"Temperature, water"," ","deg C",25,"May",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1978-06-21,NA,"Temperature, water"," ","deg C",25,"Jun",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1978-07-12,NA,"Temperature, water"," ","deg C",22,"Jul",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1978-08-16,NA,"Temperature, water"," ","deg C",27,"Aug",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1978-10-11,NA,"Temperature, water"," ","deg C",13,"Oct",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1978-11-20,NA,"Temperature, water"," ","deg C",12,"Nov",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1978-12-11,NA,"Temperature, water"," ","deg C",10,"Dec",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1979-01-24,NA,"Temperature, water"," ","deg C",7,"Jan",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1979-02-13,NA,"Temperature, water"," ","deg C",4,"Feb",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1979-03-20,NA,"Temperature, water"," ","deg C",14,"Mar",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1979-04-18,NA,"Temperature, water"," ","deg C",16,"Apr",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1979-05-05,NA,"Temperature, water"," ","deg C",19,"May",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1979-05-08,NA,"Temperature, water"," ","deg C",24,"May",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1979-07-13,NA,"Temperature, water"," ","deg C",25.5,"Jul",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1979-08-07,NA,"Temperature, water"," ","deg C",30,"Aug",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1979-09-17,NA,"Temperature, water"," ","deg C",21,"Sep",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1979-10-10,NA,"Temperature, water"," ","deg C",15,"Oct",NA,NA,NA,NA,NA,"Downstream"
