"agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"USGS","0208675010",2009-08-02,0.47,"A"
"USGS","0208675010",2009-08-03,0.32,"A"
"USGS","0208675010",2009-08-04,0.39,"A"
"USGS","0208675010",2009-08-05,1.74,"A"
"USGS","0208675010",2009-08-06,11.7,"A"
"USGS","0208675010",2009-08-07,1.9,"A"
"USGS","0208675010",2009-08-08,0.56,"A"
"USGS","0208675010",2009-08-09,0.27,"A"
"USGS","0208675010",2009-08-10,0.19,"A"
"USGS","0208675010",2009-08-11,0.45,"A"
"USGS","0208675010",2009-08-12,0.78,"A"
"USGS","0208675010",2009-08-13,0.36,"A"
"USGS","0208675010",2009-08-14,0.34,"A"
"USGS","0208675010",2009-08-15,0.28,"A"
"USGS","0208675010",2009-08-16,0.26,"A"
"USGS","0208675010",2009-08-17,2.08,"A"
"USGS","0208675010",2009-08-18,0.91,"A"
"USGS","0208675010",2009-08-19,0.41,"A"
"USGS","0208675010",2009-08-20,3.09,"A"
"USGS","0208675010",2009-08-21,20.3,"A"
"USGS","0208675010",2009-08-22,17.8,"A"
"USGS","0208675010",2009-08-23,2.09,"A"
"USGS","0208675010",2009-08-24,0.9,"A"
"USGS","0208675010",2009-08-25,0.67,"A"
"USGS","0208675010",2009-08-26,0.59,"A"
"USGS","0208675010",2009-08-27,0.39,"A"
"USGS","0208675010",2009-08-28,28.2,"A"
"USGS","0208675010",2009-08-29,6.72,"A"
"USGS","0208675010",2009-08-30,0.83,"A"
"USGS","0208675010",2009-08-31,1.96,"A"
"USGS","0208675010",2009-09-01,0.45,"A"
"USGS","0208675010",2009-09-02,0.43,"A"
"USGS","0208675010",2009-09-03,0.28,"A"
"USGS","0208675010",2009-09-04,0.14,"A"
"USGS","0208675010",2009-09-05,0.07,"A"
"USGS","0208675010",2009-09-06,0.05,"A"
"USGS","0208675010",2009-09-07,0.9,"A"
"USGS","0208675010",2009-09-08,1.92,"A"
"USGS","0208675010",2009-09-09,0.13,"A"
"USGS","0208675010",2009-09-10,0.07,"A"
"USGS","0208675010",2009-09-11,0.05,"A"
"USGS","0208675010",2009-09-12,0.04,"A"
"USGS","0208675010",2009-09-13,0.04,"A"
"USGS","0208675010",2009-09-14,0.04,"A"
"USGS","0208675010",2009-09-15,0.04,"A"
"USGS","0208675010",2009-09-16,0.04,"A"
"USGS","0208675010",2009-09-17,3.44,"A"
"USGS","0208675010",2009-09-18,0.69,"A"
"USGS","0208675010",2009-09-19,0.46,"A"
"USGS","0208675010",2009-09-20,0.43,"A"
"USGS","0208675010",2009-09-21,0.36,"A"
"USGS","0208675010",2009-09-22,86.7,"A e"
"USGS","0208675010",2009-09-23,10.5,"A"
"USGS","0208675010",2009-09-24,2.11,"A"
"USGS","0208675010",2009-09-25,1.21,"A"
"USGS","0208675010",2009-09-26,4.37,"A"
"USGS","0208675010",2009-09-27,41.3,"A"
